Empresas, Ftype, Investors
Pinmypet, Seed, Bozano Investimentos
ClubVenta, Venture - Series Unknown, Aurus
Moneto, Seed, SP Ventures
Clip, Series A, Alta Ventures Mexico
Clip, Series A, Angel Ventures
PingStamp, Seed, Investo
OSOM, Seed, Angel Ventures
Dot Legend, Seed, Bozano Investimentos
Dot Legend, Seed, Criatec 2
Fumajet, Seed, Bozano Investimentos
BuscaLibre, Venture - Series Unknown, Aurus
Merqueo, Venture - Series Unknown, Velum Ventures
VISOR ADL, Seed, ALLVP
EZ Commerce, Venture - Series Unknown, Criatec 2
Cornershop, Seed, ALLVP
Farmacias Personalizadas, Series B, ALLVP
Itaro, Series B, Astella Investimentos
S-Save, Seed, Magma Partners
Yller, Seed, Bozano Investimentos
Yller, Seed, Criatec 2
Neoway, Series A, Monashees
Kickoff, Seed, Monashees
VRTIFY, Seed, Angel Ventures
Tienda Nube, Series A, Kaszek Ventures
Akmey Biotecnologia Têxtil, Series A, Inseed Investimentos
PropertySimple, Seed, Magma Partners
Estrategia Energía Eléctrica, Seed, ALLVP
BEWE (formerly miora), Venture - Series Unknown, Mountain Nazca
Geofusion, Private Equity, DGF Investimentos
Rocket.La, Seed, Angel Ventures
Drivin, Seed, Mountain Nazca
Real Trends, Convertible Note, Mercado Libre Fund
Parrable, Series A, Angel Ventures
Nuvem Shop, Series A, Kaszek Ventures
Omiexperience, Venture - Series Unknown, Astella Investimentos
IguanaFix, Series A, Angel Ventures
Cliever, Seed, Bozano Investimentos
ERPFlex, Series A, e.Bricks Ventures
Tab, Seed, Investo
Genotyping, Series A, SP Ventures
Nubleer Media, Seed, Mountain Nazca
Nutrebem, Venture - Series Unknown, Confrapar
Kueski, Series A, Angel Ventures
Hive, Seed, Bozano Investimentos
Hive, Seed, Criatec 2
ALavadeira, Series A, CRP Companhia de Participaçõe
DogHero, Seed, Kaszek Ventures
Memed, Funding Round, Monashees
Memed, Funding Round, Redpoint eventures
Algenis, Venture - Series Unknown, Aurus
GuiaBolso, Series B, Kaszek Ventures
GuiaBolso, Series B, Investo
GuiaBolso, Series B, e.Bricks Ventures
GuiaBolso, Series B, Omidyar Network
Xerpa, Venture - Series Unknown, Kaszek Ventures
Xerpa, Venture - Series Unknown, Redpoint eventures
Oolu, Seed, Investo
Inventive Power, Venture - Series Unknown, Angel Ventures
Colchones REM, Seed, Velum Ventures
BRIGHT, Seed, Investo
