Investors,Empresa,Ftype
Velum Ventures,Boxi Sleep,Seed
Angel Ventures,Tu Canton,Venture - Series Unknown
DILA Capital,Tu Canton,Venture - Series Unknown
Confrapar,ChefsClub,Series B
e.Bricks Ventures,Rock Content,Series A
Kaszek Ventures,Guiche Virtual,Series A
Investo,Beek,Seed
Inseed Investimentos,CHP Brasil,Series A
Mountain Nazca,Human Inc,Seed
Angel Ventures,Kueski,Series A
ALLVP,Cornershop,Series A
Bozano Investimentos,Passei Direto,Series B
IGNIA,Procesa Chiapas,Venture - Series Unknown
Mountain Nazca,Destácame,Seed
Confrapar,BlueOpex,Series B
Mountain Nazca,Luuna,Seed
Investo,Unima,Seed
Mercado Libre Fund,Producteca,Seed
Monashees,Mandaê,Series A
Magma Partners,Jooycar,Seed
Kaszek Ventures,Dr.Consulta,Series B
Magma Partners,AmberAds,Seed
Investo,Asistia,Seed
DILA Capital,iVoy,Series A
Angel Ventures,Onko Solutions,Series A
Promotora Social México,Onko Solutions,Series A
ALLVP,weex,Series A
Magma Partners,Bankity,Seed
Kaszek Ventures,QuintoAndar,Series A
Mountain Nazca,MisAbogados.com,Seed
DGF Investimentos,WebRadar,Venture - Series Unknown
Aurus,EchoPixel,Venture - Series Unknown
ALLVP,Salud Fácil,Venture - Series Unknown
Redpoint eventures,Pipefy,Venture - Series Unknown
Mountain Nazca,Platzi,Seed
Omidyar Network,Platzi,Seed
Kaszek Ventures,Nubank,Series C
Redpoint eventures,Olist,Series A
Bozano Investimentos,EZ Commerce,Seed
Angel Ventures,Rocket.La,Seed
Investo,Arcus,Seed
Mercado Libre Fund,Meloncargo,Convertible Note
ALLVP,Salud Fácil,Series B
Angel Ventures,Salud Fácil,Series B
Investo,HigherMe,Seed
DGF Investimentos,Ingresse,Series B
e.Bricks Ventures,Ingresse,Series B
Bozano Investimentos,Pinmypet,Seed
Aurus,ClubVenta,Venture - Series Unknown
SP Ventures,Moneto,Seed
Alta Ventures Mexico,Clip,Series A
Angel Ventures,Clip,Series A
Investo,PingStamp,Seed
Angel Ventures,OSOM,Seed
Bozano Investimentos,Dot Legend,Seed
Criatec 2,Dot Legend,Seed
Bozano Investimentos,Fumajet,Seed
Aurus,BuscaLibre,Venture - Series Unknown
Velum Ventures,Merqueo,Venture - Series Unknown
ALLVP,VISOR ADL,Seed
Criatec 2,EZ Commerce,Venture - Series Unknown
ALLVP,Cornershop,Seed
ALLVP,Farmacias Personalizadas,Series B
Astella Investimentos,Itaro,Series B
Magma Partners,S-Save,Seed
Bozano Investimentos,Yller,Seed
Criatec 2,Yller,Seed
Monashees,Neoway,Series A
Monashees,Kickoff,Seed
Angel Ventures,VRTIFY,Seed
Kaszek Ventures,Tienda Nube,Series A
Inseed Investimentos,Akmey Biotecnologia Têxtil,Series A
Magma Partners,PropertySimple,Seed
ALLVP,Estrategia Energía Eléctrica,Seed
Mountain Nazca,BEWE (formerly miora),Venture - Series Unknown
DGF Investimentos,Geofusion,Private Equity
Angel Ventures,Rocket.La,Seed
Mountain Nazca,Drivin,Seed
Mercado Libre Fund,Real Trends,Convertible Note
Angel Ventures,Parrable,Series A
Kaszek Ventures,Nuvem Shop,Series A
Astella Investimentos,Omiexperience,Venture - Series Unknown
Angel Ventures,IguanaFix,Series A
Bozano Investimentos,Cliever,Seed
e.Bricks Ventures,ERPFlex,Series A
Investo,Tab,Seed
SP Ventures,Genotyping,Series A
Mountain Nazca,Nubleer Media,Seed
Confrapar,Nutrebem,Venture - Series Unknown
Angel Ventures,Kueski,Series A
Bozano Investimentos,Hive,Seed
Criatec 2,Hive,Seed
CRP Companhia de Participaçõe,ALavadeira,Series A
Kaszek Ventures,DogHero,Seed
Monashees,Memed,Funding Round
Redpoint eventures,Memed,Funding Round
Aurus,Algenis,Venture - Series Unknown
e.Bricks Ventures,GuiaBolso,Series B
Kaszek Ventures,GuiaBolso,Series B
Omidyar Network,GuiaBolso,Series B
Kaszek Ventures,Xerpa,Venture - Series Unknown
Redpoint eventures,Xerpa,Venture - Series Unknown
Investo,Oolu,Seed
Angel Ventures,Inventive Power,Venture - Series Unknown
Velum Ventures,Colchones REM,Seed
Investo,BRIGHT,Seed
Quona Capital,Creditas,Series A
Redpoint eventures,Creditas,Series A
Mercado Libre Fund,Ecommet,Convertible Note
Velum Ventures,Colppy,Seed
Monashees,Magnetis,Seed
Redpoint eventures,Magnetis,Seed
Mercado Libre Fund,Ibushak,Convertible Note
Mercado Libre Fund,00K E-Commerce Tools,Convertible Note
Bozano Investimentos,Visent,Seed
Criatec 2,Visent,Seed
